group,n_samples,base_rate,selection_rate,accuracy,precision,recall,f1,fpr,fnr,tpr,tnr,auroc
African-American,641,0.5257410296411856,0.5413416536661466,0.7254290171606864,0.7319884726224783,0.7537091988130564,0.7426900584795322,0.3059210526315789,0.24629080118694363,0.7537091988130564,0.694078947368421,0.757940613774793
Caucasian,427,0.3770491803278688,0.24121779859484777,0.6955503512880562,0.6504854368932039,0.4161490683229814,0.5075757575757576,0.13533834586466165,0.5838509316770186,0.4161490683229814,0.8646616541353384,0.6955704478587773
Hispanic,94,0.4787234042553192,0.2553191489361702,0.6702127659574468,0.7916666666666666,0.4222222222222222,0.5507246376811594,0.10204081632653061,0.5777777777777777,0.4222222222222222,0.8979591836734694,0.6349206349206349
Other,65,0.27692307692307694,0.2153846153846154,0.7538461538461538,0.5714285714285714,0.4444444444444444,0.5,0.1276595744680851,0.5555555555555556,0.4444444444444444,0.8723404255319149,0.7429078014184397
