group,n_samples,base_rate,selection_rate,accuracy,precision,recall,f1,fpr,fnr,tpr,tnr,auroc
African-American,641,0.5257410296411856,0.516380655226209,0.7098283931357254,0.7280966767371602,0.7151335311572701,0.7215568862275449,0.29605263157894735,0.28486646884273,0.7151335311572701,0.7039473684210527,0.7585067546462596
Caucasian,427,0.3770491803278688,0.23653395784543327,0.65807962529274,0.5742574257425742,0.36024844720496896,0.44274809160305345,0.16165413533834586,0.639751552795031,0.36024844720496896,0.8383458646616542,0.6660673422687152
Hispanic,94,0.4787234042553192,0.22340425531914893,0.6170212765957447,0.7142857142857143,0.3333333333333333,0.45454545454545453,0.12244897959183673,0.6666666666666666,0.3333333333333333,0.8775510204081632,0.6208616780045351
Other,65,0.27692307692307694,0.18461538461538463,0.7846153846153846,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.0851063829787234,0.5555555555555556,0.4444444444444444,0.9148936170212766,0.7281323877068558
