group,n_samples,base_rate,selection_rate,accuracy,precision,recall,f1,fpr,fnr,tpr,tnr,auroc
African-American,641,0.5257410296411856,0.5335413416536662,0.7113884555382215,0.7222222222222222,0.7329376854599406,0.727540500736377,0.3125,0.26706231454005935,0.7329376854599406,0.6875,0.7568180930813682
Caucasian,427,0.3770491803278688,0.234192037470726,0.6838407494145199,0.63,0.391304347826087,0.4827586206896552,0.13909774436090225,0.6086956521739131,0.391304347826087,0.8609022556390977,0.7000070050903657
Hispanic,94,0.4787234042553192,0.26595744680851063,0.6382978723404256,0.72,0.4,0.5142857142857142,0.14285714285714285,0.6,0.4,0.8571428571428571,0.6353741496598639
Other,65,0.27692307692307694,0.2,0.7384615384615385,0.5384615384615384,0.3888888888888889,0.45161290322580644,0.1276595744680851,0.6111111111111112,0.3888888888888889,0.8723404255319149,0.718676122931442
