group,n_samples,base_rate,selection_rate,accuracy,precision,recall,f1,fpr,fnr,tpr,tnr,auroc
African-American,641,0.5257410296411856,0.5273010920436817,0.7207488299531981,0.7337278106508875,0.7359050445103857,0.7348148148148148,0.29605263157894735,0.26409495548961426,0.7359050445103857,0.7039473684210527,0.7619280024988286
Caucasian,427,0.3770491803278688,0.24355971896955503,0.6885245901639344,0.6346153846153846,0.40993788819875776,0.4981132075471698,0.14285714285714285,0.5900621118012422,0.40993788819875776,0.8571428571428571,0.6949866903283053
Hispanic,94,0.4787234042553192,0.2765957446808511,0.6702127659574468,0.7692307692307693,0.4444444444444444,0.5633802816901409,0.12244897959183673,0.5555555555555556,0.4444444444444444,0.8775510204081632,0.6485260770975056
Other,65,0.27692307692307694,0.2,0.7384615384615385,0.5384615384615384,0.3888888888888889,0.45161290322580644,0.1276595744680851,0.6111111111111112,0.3888888888888889,0.8723404255319149,0.7257683215130024
