Model,AUROC,AUPRC,Brier Score,Accuracy,Precision,Recall,F1
Catboost,0.7419915606013336,0.7103562757055979,0.2040361061322202,0.7076923076923077,0.7089397089397089,0.6067615658362989,0.6538830297219559
Lightgbm,0.7401884058737369,0.7007215772465518,0.2048170441514778,0.7133603238866397,0.7122448979591837,0.6209964412811388,0.6634980988593155
Xgboost,0.7400522438965063,0.700782672183965,0.20492746426895075,0.6987854251012146,0.6970954356846473,0.597864768683274,0.6436781609195402
Xgboost,0.7313220138224237,0.6868447760353424,0.20817680438858352,0.6890688259109312,0.6986607142857143,0.5569395017793595,0.6198019801980198
Logistic Regression,0.7313,0.6868,0.2082,0.6695,0.6598,0.6028,0.6301
