group,n_samples,base_rate,auroc,accuracy,fpr,fnr
Race: African-American,528,0.5606060606060606,0.7226234855545199,0.6477272727272727,0.38362068965517243,0.3277027027027027
Race: Caucasian,342,0.4239766081871345,0.671486084368983,0.6578947368421053,0.19796954314720813,0.5379310344827586
Race: Hispanic,109,0.42201834862385323,0.7184265010351967,0.6697247706422018,0.14285714285714285,0.5869565217391305
Race: Other,59,0.3389830508474576,0.6608974358974359,0.6779661016949152,0.15384615384615385,0.65
