feature,xgboost,lightgbm,catboost,mean_importance
priors_count_log,8.327074,27.232142857142858,30.598774763148366,22.052663890398183
decile_score,21.357763,22.544642857142858,21.89575882113493,21.932721656227688
age,5.0132766,39.732142857142854,19.62741752161495,21.45761231858455
score_text_Low,51.361668,0.22321428571428573,8.320772395496219,19.968551438089047
juv_other_count_log,3.9550426,4.6875,6.968559746519086,5.2037007823836
c_charge_degree_M,2.7774925,3.125,4.387930950025781,3.430141157739713
score_text_Medium,3.9841013,1.3392857142857142,3.18764943651501,2.8370121487573052
juv_misd_count_log,1.7453818,1.1160714285714286,2.930226015228006,1.9305597586407461
juv_fel_count_log,1.4782085,0.0,2.0829103503176354,1.1870396307292508
